RPi2.ffu; 4; 4; 3; 0; 2; normal; 16; bt4; 0; 48; 5; 381,0; 4,9; 3:54

RPi2.ffu; 4e; 4; 3; 0; 2; normal; 273; bt4; 512; 48; 5; 376,1; 3,3; 5:48

RPi2.ffu; 5; 8; 3; 0; 2; normal; 32; bt4; 0; 94; 9; 373,0; 4,0; 4:45

RPi2.ffu; 5e; 8; 3; 0; 2; normal; 192; bt4; 0; 94; 9; 371,2; 3,3; 5:49

RPi2.ffu; 6; 8; 3; 0; 2; normal; 64; bt4; 0; 94; 9; 371,5; 3,6; 5:15

RPi2.ffu; 6e; 8; 3; 0; 2; normal; 273; bt4; 512; 94; 9; 371,5; 3,1; 6:16

RPi2.ffu; 7; 16; 3; 0; 2; normal; 64; bt4; 0; 186; 17; 367,6; 3,4; 5:33

RPi2.ffu; 7e; 16; 3; 0; 2; normal; 273; bt4; 512; 186; 17; 367,5; 3,0; 6:28

RPi2.ffu; 8; 32; 3; 0; 2; normal; 64; bt4; 0; 370; 33; 362,4; 3,3; 5:46

RPi2.ffu; 8e; 32; 3; 0; 2; normal; 273; bt4; 512; 370; 33; 362,3; 2,8; 6:48

RPi2.ffu; 9; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 357,8; 2,9; 6:31

RPi2.ffu; 9e; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 357,5; 2,5; 7:36

MinnowBoardMax.ffu; 0; 256KiB; 3; 0; 2; fast; 128; hc3; 4; 3; 1; 464,3; 16; 1:13

MinnowBoardMax.ffu; 0e; 256KiB; 3; 0; 2; normal; 273; bt4; 512; 4; 1; 432,1; 4,3; 4:26

MinnowBoardMax.ffu; 1; 1; 3; 0; 2; fast; 128; hc4; 8; 9; 2; 442,7; 13; 1:27

MinnowBoardMax.ffu; 1e; 1; 3; 0; 2; normal; 273; bt4; 512; 13; 2; 415,7; 3,8; 5:06

MinnowBoardMax.ffu; 2; 2; 3; 0; 2; fast; 273; hc4; 24; 17; 3; 435,3; 9,0; 2:08

MinnowBoardMax.ffu; 2e; 2; 3; 0; 2; normal; 273; bt4; 512; 25; 3; 409,9; 3,4; 5:44

MinnowBoardMax.ffu; 3; 4; 3; 0; 2; fast; 273; hc4; 48; 32; 5; 430,7; 6,5; 2:58

MinnowBoardMax.ffu; 3e; 4; 3; 0; 2; normal; 192; bt4; 0; 48; 5; 405,3; 3,3; 5:55

MinnowBoardMax.ffu; 4; 4; 3; 0; 2; normal; 16; bt4; 0; 48; 5; 410,9; 4,5; 4:14

MinnowBoardMax.ffu; 4e; 4; 3; 0; 2; normal; 273; bt4; 512; 48; 5; 405,4; 3,1; 6:11

MinnowBoardMax.ffu; 5; 8; 3; 0; 2; normal; 32; bt4; 0; 94; 9; 402,6; 3,7; 5:14

MinnowBoardMax.ffu; 5e; 8; 3; 0; 2; normal; 192; bt4; 0; 94; 9; 401,1; 3,0; 6:20

MinnowBoardMax.ffu; 6; 8; 3; 0; 2; normal; 64; bt4; 0; 94; 9; 401,6; 3,3; 5:46

MinnowBoardMax.ffu; 6e; 8; 3; 0; 2; normal; 273; bt4; 512; 94; 9; 401,4; 2,9; 6:38

MinnowBoardMax.ffu; 7; 16; 3; 0; 2; normal; 64; bt4; 0; 186; 17; 397,6; 3,1; 6:11

MinnowBoardMax.ffu; 7e; 16; 3; 0; 2; normal; 273; bt4; 512; 186; 17; 397,5; 2,7; 7:06

MinnowBoardMax.ffu; 8; 32; 3; 0; 2; normal; 64; bt4; 0; 370; 33; 394,6; 2,9; 6:35

MinnowBoardMax.ffu; 8e; 32; 3; 0; 2; normal; 273; bt4; 512; 370; 33; 394,4; 2,5; 7:33

MinnowBoardMax.ffu; 9; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 391,2; 2,6; 7:27

MinnowBoardMax.ffu; 9e; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 390,7; 2,3; 8:27
